´úÂë,¼Û¸ñ
000996,15.89
000997,18.91
000998,24.29
000999,26.97
001696,6.28
001896,5.58
001965,12.11
001979,26.05
002001,40.0
002002,7.15
002003,12.07
002004,6.73
002005,4.36
002006,7.04
002007,27.48
002008,53.11
002009,16.36
002010,16.72
002011,8.05
002012,10.96
002013,10.32
002014,11.6
002015,6.5
002016,13.19
002017,8.81
002018,6.79
002019,20.93
002020,10.5
002021,4.19
002022,14.12
002023,9.92
002024,13.36
002025,22.9
002026,7.85
002027,14.88
002028,14.99
002029,8.55
002030,17.65
002031,2.8
002032,45.83
002033,9.1
002034,47.62
002035,32.82
002036,15.61
002037,11.18
002038,33.48
002039,15.74
002040,13.99
002041,12.4
002042,13.21
002043,11.56
002044,23.91
002045,17.38
002046,9.06
002047,7.26
002048,22.42
002049,41.64
002050,20.3
002051,18.57
002052,5.28
002053,11.61
002054,14.46
002055,19.17
002056,9.78
002057,12.19
002058,20.86
002059,7.59
002060,3.77
002061,15.26
002062,5.17
002063,11.6
002064,5.06
002065,9.27
002066,10.43
002067,6.25
002068,10.31
002069,7.94
002070,4.11
002071,9.63
002072,28.9
002073,7.96
002074,21.61
002075,16.12
002076,5.05
002077,13.2
002078,11.42
002079,7.97
002080,23.36
002081,16.4
002082,13.97
002083,6.61
002084,6.94
002085,15.51
002086,12.58
002087,5.65
002088,14.03
002089,5.51
002090,21.09
002091,8.81
002092,15.09
002093,9.21
002094,18.93
002095,40.75
002096,8.06
002097,7.72
002098,16.33
002099,5.94
002100,8.45
002101,20.02
002102,4.95
002103,9.45
002104,8.86
002105,6.42
002106,10.29
002107,11.69
002108,11.26
002109,7.69
002110,23.46
002111,15.03
002112,17.41
002113,11.47
002114,17.61
002115,9.26
002116,10.4
002117,18.71
002118,8.17
002119,17.7
002120,44.5
002121,8.75
002122,8.49
002123,10.13
002124,9.7
002125,10.61
002126,9.23
002127,12.5
002128,11.38
002129,10.46
002130,5.57
002131,2.78
002132,5.0
002133,4.97
002134,8.23
002135,6.98
002136,14.2
002137,6.99
002138,15.6
002139,10.07
002140,10.97
002141,6.96
002142,19.79
002143,14.16
002144,13.99
002145,5.92
002146,13.72
002147,14.76
002148,9.16
002149,9.67
002150,8.69
002151,33.03
002152,7.36
002153,26.59
002154,3.31
002155,9.5
002156,11.72
002157,6.3
002158,12.88
002159,16.91
002160,6.72
002161,8.72
002162,5.09
002163,7.64
002164,8.52
002165,5.98
002166,10.5
002167,9.61
002168,13.76
002169,5.22
002170,6.56
002171,7.48
002172,6.2
002173,12.79
002174,24.72
002175,7.99
002176,10.14
002177,5.11
002178,15.14
002179,37.78
002180,27.0
002181,5.0
002182,8.67
002183,7.66
002184,12.0
002185,8.01
002186,18.5
002187,10.56
002188,13.39
002189,18.08
002190,21.26
002191,8.85
002192,26.08
002193,16.75
002194,9.49
002195,6.39
002196,9.07
002197,11.75
002198,11.74
002199,14.49
002200,11.86
002201,10.43
002202,18.4
002203,7.84
002204,4.34
002205,17.26
002206,5.53
002207,9.21
002208,10.2
002209,9.85
002210,13.1
002211,7.24
002212,19.51
002213,15.35
002214,7.3
002215,6.95
002216,8.39
002217,9.4
002218,4.89
002219,11.71
002220,7.34
002221,12.37
002222,16.88
002223,21.9
002224,8.88
002225,5.02
002226,6.03
002227,17.61
002228,4.23
002229,9.77
002230,60.21
002231,10.6
002232,10.19
002233,12.21
002234,11.05
002235,12.38
002236,26.4
002237,11.35
002238,9.87
002239,3.91
002240,13.9
002241,15.76
002242,18.39
002243,7.8
002244,8.85
002245,9.34
002246,11.86
002247,12.78
002248,10.15
002249,6.82
002250,10.55
002251,19.01
002252,20.05
002253,19.27
002254,12.58
002255,6.61
002256,4.78
002258,19.36
002259,5.9
002260,11.96
002261,7.56
002262,14.87
002263,2.87
002264,9.29
002265,13.76
002266,4.11
002267,8.09
002268,23.98
002269,3.19
002270,9.41
002271,42.0
002272,5.36
002273,20.76
002274,7.41
002275,16.3
002276,8.76
002277,5.93
002278,14.63
002279,10.99
002280,7.57
002281,26.67
002282,14.75
002283,5.73
002284,8.81
002285,11.44
002286,10.98
002287,35.46
002288,5.86
002289,10.63
002290,12.72
002291,7.18
002292,13.66
002293,14.1
002294,40.3
002295,11.75
002296,7.82
002297,11.28
002298,9.0
002299,15.17
002300,8.5
002301,17.38
002302,17.09
002303,6.42
002304,131.94
002305,4.54
002306,4.69
002307,12.41
002308,10.97
002309,13.87
002310,18.89
002311,23.09
002312,6.79
002313,31.0
002314,6.76
002315,23.77
002316,9.89
002317,11.7
002318,7.12
002319,15.81
002320,27.85
002321,12.9
002322,17.78
002323,6.64
002324,20.6
002325,4.91
002326,11.47
002327,10.46
002328,6.64
002329,6.73
002330,8.38
002331,10.69
002332,8.16
002333,16.55
002334,8.25
002335,30.87
002336,12.14
002337,5.4
002338,14.06
002339,9.37
002340,6.94
