ДњТы,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010930,20010630,20010331,20001231,20000930,20000630,20000331,19991231,19990630,19990331,19981231,19980930,19980630,19980331,19971231,19970630,19970331,19961231,19960930,19960630,19960331,19951231,19950930,19950630,19941231,19940930,19940630,19940331,19931231,19930930,19930630,19930331,19921231,19920630,19911231,19910630,19901231,19900630,19891231
000001,19153000000.00,12554000000.00,6214000000.00,22599000000.00,18719000000.00,12292000000.00,6086000000.00,21865000000.00,17740000000.00,11585000000.00,5629000000.00,19802000000.00,15694000000.00,10072000000.00,5054000000.00,15231000000.00,11696000000.00,7531000000.00,3589000000.00,13402701000.00,10237894000.00,6761485000.00,3428945000.00,10278631000.00,7687182000.00,4731138000.00,2402199000.00,6246537000.00,4718212000.00,3033119000.00,1578118000.00,5030729000.00,3637419000.00,2311388000.00,1122077000.00,614035000.00,3316994000.00,2143834000.00,1004182000.00,2649903000.00,1873617000.00,1123983000.00,535084000.00,1411947000.00,972338000.00,517856000.00,233183546.00,311007640.00,299910150.00,167880968.00,149857853.00,339317191.00,338353177.00,217035809.00,157542028.00,425072719.00,314953470.00,270340697.00,153313141.00,176864163.00,366428251.00,314141342.00,183951144.00,402360428.00,365081211.00,223211685.00,138828436.00,462975563.00,,139814742.00,,223539210.00,240918601.00,,764339190.60,,378013127.52,,513636432.11,447133185.35,,787479009.34,,364226822.04,,435129069.51,,216501117.68,356328024.05,,207906261.80,,273311145.21,,137466312.91,,172110000.00,84066087.06,112650000.00,,70875000.00,,43020000.00
000002,11091000884.88,7302723984.96,695411556.91,21022606256.56,8262381011.76,5351309986.08,833232885.76,18119406249.27,6854457908.30,4846279065.45,650232416.58,15745454144.70,6458133425.96,4809238120.15,1529479377.61,15118549405.78,6160218880.98,4556304906.89,1613904228.33,12551182392.23,5079887062.17,3725085079.33,1395936766.18,9624875268.23,3583910174.21,2977854653.10,1205138559.33,7283127039.15,3272003908.45,2812498573.20,1126579449.19,5329737727.00,2957592238.84,2524392406.54,768764018.98,4033170027.89,2276541800.20,2061055712.25,718133261.64,4844235494.21,1916886797.17,1667999940.76,612349282.31,2154639315.18,1359014579.97,1220795888.35,388179405.16,1364689854.21,871793126.89,795052559.21,251914627.73,878006255.08,385102117.46,314749490.22,104934487.02,542270658.17,272919533.99,206815288.08,40928049.02,382421274.06,187079504.70,142156920.25,30555992.96,373747217.73,,170459524.96,,296647729.43,,114586654.39,,229142287.45,85359240.45,,202092921.45,,82505757.26,,187123995.02,65676901.56,,149663316.45,,53601041.26,,147452376.33,,64178474.51,173367919.72,,75806066.87,,153405297.20,,81813264.78,,70024056.26,,,,,,
000004,-5434258.00,-3772073.56,-1177968.65,39299310.06,14698532.21,2985718.12,-2392487.15,1247118.29,2376703.51,1212220.46,-1853677.13,3801373.74,-5566809.55,-4706350.58,-2811440.10,-1033376.96,888054.32,54101.44,807431.91,2005254.96,-419706.36,-787982.64,8420.81,2989891.05,523100.96,266016.91,169702.14,11624092.32,9467071.56,3555210.56,-83031.25,2468845.24,-2118466.02,-985338.90,-844785.20,-11122440.62,-3209484.96,-1704448.42,-1022277.64,-9267271.29,-5262126.68,-3797809.08,103604.63,619804.46,-4747697.65,-2106435.29,44632.54,-13577008.63,-5066621.07,-2278127.17,-1313874.68,-4062669.63,-1982900.10,-3209884.91,-3862566.37,3861496.73,-2552891.33,-2488993.70,-1413562.24,5583067.67,-1969673.80,-6935059.41,-2987421.91,11095114.62,,13580285.07,,22006373.59,,6347521.67,,6540917.80,940228.51,,-79521734.48,,4431580.56,,15733742.27,4012467.05,,-98669484.89,,-5571759.22,,-11183133.02,,13369883.84,29236770.55,,21150036.97,,40756142.76,,20405000.00,,23486369.37,,8040000.00,,,,
000005,-16213308.65,-17757294.82,-10140274.23,108657351.50,133769378.05,126977992.28,-6804122.51,-55239327.37,-29836022.32,-23188508.26,-8066504.98,43163944.16,-31948217.35,-25219942.17,-8682228.39,-42344755.22,-29000088.90,-22456860.14,-9235389.53,22021617.89,-13387604.40,-29258188.88,-12225578.78,11414651.25,13656651.93,27123363.32,-6291033.08,4888566.86,-26524804.13,-16008152.55,-6893419.47,-48919528.98,-11721761.19,-2164648.78,3802025.88,10499719.92,10302094.51,5488803.32,2261319.16,77374688.36,90189663.90,73019008.26,39849992.41,54819108.11,73090127.34,68108172.38,59145881.86,-179970049.52,-24804443.34,-14870587.53,-6646618.01,1690339.77,1292761.50,1047802.95,925029.75,2166930.49,-11371852.85,-13540016.92,-14582983.39,-84471440.00,-29189736.68,-24921608.26,-4279412.91,-66613878.26,,313654.34,,9676654.61,,3111752.80,,119924706.01,103084967.02,,151190561.14,,61442408.55,,155381788.79,-72546240.40,,56063500.89,,25597570.65,,59221783.20,,23010100.00,67841463.36,,30309600.00,,-35188326.88,,,,,,,,,,
000006,339136812.90,249606463.63,103858804.96,778580909.98,114482862.92,102085228.83,48808316.64,416752839.52,276824443.33,258082864.50,201622858.44,508030702.22,239601134.17,49141888.98,30721208.97,696085752.22,359211187.96,270157823.76,61695638.47,617150754.00,340817145.47,263741304.11,79120017.16,433967868.62,274214697.78,130863971.02,52676760.96,481552496.42,131583769.62,98928269.93,38126190.45,326306681.44,173689182.76,108510618.58,61868632.95,150219758.38,235426041.60,235639668.45,229905300.91,257731330.81,129481602.79,78862697.98,13656578.55,216253765.84,181916670.96,174586602.95,36190241.01,110404372.95,23961258.25,1448365.14,15845472.88,53722292.75,-36126805.62,-46505625.99,-7934448.31,-292049900.11,-48421584.60,2731088.70,-15269855.90,68071390.60,44627316.22,30681343.42,5011000.00,119148923.92,,51479241.42,,117777604.13,,28452103.08,,93675910.00,46358408.56,,117895694.72,,60490295.81,,117450607.21,88704512.76,,70319296.68,,6281608.63,,45339928.62,,32516654.64,57682979.12,,37448089.94,,69392299.09,,48311250.00,,45058067.60,,18793900.00,,6821559.85,,
000007,10327910.18,21044098.33,276892.56,78019021.13,17387780.18,10784030.21,7664533.73,13996195.46,-11685449.29,-7442140.89,-4866348.34,-30193896.42,-6707136.12,-3922616.29,-6153453.51,23267539.95,39241425.50,948097.85,-9115517.76,6641577.02,10844386.00,6385330.34,492641.47,5701718.89,158388.74,-764653.64,-49696.33,11856458.94,-5333257.77,855079.19,-9639492.75,26129366.86,55313221.10,31761838.71,-9870415.47,-61226493.93,-32068489.39,-18809479.67,-9536310.60,11553947.37,-19867228.59,-20124020.72,-9708945.17,-91523394.48,-24578627.00,-15346725.10,-5034397.99,8295596.55,-9492157.41,4916079.20,14346386.60,-141591377.11,-39429493.59,-20765572.81,-11405551.85,14968296.88,4981420.28,10209605.57,6273836.92,21951951.34,24186996.33,16735319.90,4597706.59,15336702.80,-18009703.86,-5218342.72,,-183677687.35,,-28892093.05,,1576618.30,3801396.69,,35713859.31,,3047093.77,,32345514.21,15357454.11,,30269992.79,,6319000.00,,5633682.62,,9855000.00,26728546.99,,20621399.07,,31469810.79,,14949184.39,,18442410.64,,7606600.00,,,,
000008,121924605.40,55729374.84,9341214.28,521866228.20,216897945.64,41939218.59,11592551.90,185671528.19,95814492.54,69968074.01,56443118.09,7767773.90,9774201.88,8633415.21,4802069.06,22757953.94,17024862.99,10545210.87,3949388.54,39129030.59,86158.95,53051.79,-28784.05,-539451.82,-440331.92,-342550.26,-273896.08,888948.26,87709.67,16884.99,-60386.42,313488.74,-86468.13,-326808.93,-127615.69,748037.14,316739.52,242936.27,257671.17,1682236.90,2180057.91,1094918.84,1003699.17,-1756059.21,-627861.85,-458740.84,-99623.68,-5266375.65,-2725892.85,279892.92,485881.74,38587600.81,731100.19,294014.39,135363.03,987095.65,366487.22,-396310.59,-129847.91,-10113095.69,-4854189.11,-3627899.92,-1799367.66,-124622363.99,,-16543697.00,,12044970.18,,25596217.00,,18807878.00,8087110.82,,-62623660.00,,-7127477.03,,7931160.59,908203.99,,-17178385.04,,-8333225.25,,168826.45,,38582.53,7597433.39,,10969185.94,,18851326.37,,9411240.52,,9963500.00,,4491500.00,,,,
000009,180479011.88,80082095.11,33472004.72,233383867.18,210365462.59,72516537.15,30139112.69,789010592.17,679837092.88,118437171.13,55579723.26,303325021.75,260572337.58,230111148.97,74092194.16,292399996.79,310552056.60,31012214.09,25142134.10,160460653.96,58366861.29,52232049.66,32753090.93,269923293.62,230506908.19,216621483.40,103313582.41,325476083.38,252960034.90,193729974.83,81689949.23,253459677.97,192961076.02,155943413.03,65272779.53,200381126.54,180120511.15,150471394.85,88226521.62,230388925.41,159991445.56,108691284.01,43744388.48,100265051.74,14485230.50,12730694.95,7737577.43,71804380.48,10086514.91,8659119.71,6440638.69,-115391941.97,6975748.28,5986276.65,2773094.27,12910005.74,6660931.61,5606449.33,4090114.43,13580922.31,8181335.84,16505967.30,4719787.43,26624193.03,,11745130.07,,34931852.49,,20691959.80,,30873378.31,5981065.46,,-487433248.00,,-99111009.01,,3366023.73,20310619.38,,40847481.93,,45534750.97,,152527477.52,,114815714.76,432558948.18,,226962666.60,,420542678.85,,323236211.46,,234463243.73,,80136120.48,,,,
000010,12686363.05,-45560268.34,-25508071.72,39877126.94,21946868.85,26322432.52,-32706655.40,33443593.49,2765880.26,1625698.48,-2169147.11,-74553205.01,-13811596.36,-6413693.70,-5748184.27,3140105.46,8819961.93,7607992.77,-5104277.21,725881.62,-5583222.19,-2319390.96,-1998707.82,5014847.58,205194.81,-4149274.32,-2945889.15,-1043054.39,-1242723.42,-3532223.13,-1390461.38,7391891.23,7019917.35,6504550.96,2988448.34,15815412.00,13432709.91,-737098.70,75547.04,-28868925.82,-8405114.22,-5061074.98,-1551733.81,7204444.98,-18188208.92,-16685358.77,-394951.14,-81291232.38,-12633865.03,-10010430.60,-6942885.47,-14997688.92,171803.59,-82614.90,282538.29,7031031.92,8272507.05,4841428.25,176996.75,12143206.73,2263942.27,1192287.58,127764.21,1755007.11,,1529676.09,,19942725.25,,-2400602.80,,-66196384.88,-21368829.37,,23392717.00,,1121515.51,,13065766.75,2971304.30,,11604701.71,,4709567.72,,11397659.34,,5525915.82,6368503.43,,,,6849572.96,,,,4315608.36,,,,,,
